,SHEETBAR,TN,TP,TEMP,DO,TURB,COND,VEL,SS,WDP,CHLcal,SECCHI,LONGITUDE,LATITUDE,DATE,FLDNUM,LOCATCD,STRATUM,YEAR,PREDICTED_TN,PREDICTED_TP
6449,41019702,1.616,0.197,23.8,6.5,7.0,392.0,,8.1,1.58,13.80511,101.0,-91.9253204334568,44.3276697591583,08/27/2010,1,M752.9M,,2010,1.616,0.197
6450,41019703,1.58,0.191,23.9,6.2,7.0,447.0,,9.5,9.6,10.5421,110.0,-91.9292673631072,44.32650043278,08/27/2010,1,M752.9Y,,2010,1.58,0.191
6451,41019704,1.492,0.174,23.0,5.7,4.0,275.0,0.04,3.7,3.6,7.84657,103.0,-91.9650277809776,44.3797492094712,08/27/2010,1,M757.2Z,,2010,1.492,0.174
6452,41019705,1.417,0.136,22.3,6.7,6.0,127.0,,6.4,2.3,6.56974,82.0,-92.0841852655924,44.4101521483094,08/27/2010,1,CH00.1M,,2010,1.417,0.136
6453,41019709,1.579,0.186,24.3,6.1,7.0,450.0,,7.1,5.7,16.07503,98.0,-92.100457850966,44.4121000425779,08/27/2010,1,M764.3A,,2010,1.579,0.186
6454,41019710,1.724,0.208,24.5,6.5,7.0,447.0,,6.8,6.0,18.62869,72.0,-92.1340042423484,44.4232707508319,08/27/2010,1,M766.0I,,2010,1.724,0.208
6455,41019729,1.636,0.204,20.1,8.4,8.0,449.0,,8.3,5.7,21.14434,72.0,-92.1340042423484,44.4232707508319,09/08/2010,1,M766.0I,,2010,1.636,0.204
6456,41019733,1.611,0.214,20.8,8.5,7.0,431.0,,7.3,5.3,20.02442,86.0,-92.100457850966,44.4121000425779,09/08/2010,1,M764.3A,,2010,1.611,0.214
6457,41019734,1.628,0.139,19.1,8.0,8.0,128.0,,11.5,1.9,10.5051,68.0,-92.0841852655924,44.4101521483094,09/08/2010,1,CH00.1M,,2010,1.628,0.139
6458,41019735,1.572,0.202,20.3,8.3,8.0,414.0,,8.9,9.9,18.48453,76.0,-91.9292673631072,44.32650043278,09/08/2010,1,M752.9Y,,2010,1.572,0.202
6459,41019736,1.601,0.186,19.6,7.8,11.0,351.0,,10.1,1.48,18.34454,69.0,-91.9253204334568,44.3276697591583,09/08/2010,1,M752.9M,,2010,1.601,0.186
6460,41019737,1.578,0.171,19.1,7.8,7.0,298.0,,8.2,6.2,16.24469,74.0,-91.9214975954724,44.3289031412753,09/08/2010,1,M752.9Z,,2010,1.578,0.171
6461,41019738,1.566,0.157,20.5,8.4,6.0,250.0,0.06,3.7,3.2,9.1052,85.0,-91.9650277809776,44.3797492094712,09/08/2010,1,M757.2Z,,2010,1.566,0.157
6462,41019744,3.666,0.188,15.1,6.6,28.0,446.0,,15.1,8.1,7.00535,31.0,-92.1340042423484,44.4232707508319,10/06/2010,1,M766.0I,,2010,3.666,0.188
6463,41019749,3.589,0.218,15.2,6.3,34.0,429.0,,21.6,9.1,6.16541,30.0,-91.9292673631072,44.32650043278,10/06/2010,1,M752.9Y,,2010,3.589,0.218
6464,41019750,3.437,0.203,15.1,6.3,31.0,425.0,,21.0,1.8,5.60545,32.0,-91.9253204334568,44.3276697591583,10/06/2010,1,M752.9M,,2010,3.437,0.203
6465,41019751,2.171,0.145,14.3,6.3,15.0,239.0,,13.1,7.1,4.20555,50.0,-91.9214975954724,44.3289031412753,10/06/2010,1,M752.9Z,,2010,2.171,0.145
6466,41019752,1.57,0.107,14.3,6.6,8.0,130.0,0.53,7.0,4.7,2.80565,72.0,-91.9650277809776,44.3797492094712,10/06/2010,1,M757.2Z,,2010,1.57,0.107
6467,41019753,1.442,0.096,14.2,8.4,7.0,128.0,,,4.4,4.20555,82.0,-92.0841852655924,44.4101521483094,10/06/2010,1,CH00.1M,,2010,1.442,0.096
6468,41019754,3.591,0.198,15.1,6.6,28.0,443.0,,18.0,8.0,7.00535,32.0,-92.100457850966,44.4121000425779,10/06/2010,1,M764.3A,,2010,3.591,0.198
6469,41019835,3.69,0.148,16.1,7.3,12.0,564.0,0.67,8.7,4.1,14.56481,54.0,-92.0928153683776,44.4108602236509,10/13/2010,1,1013005,1.0,2010,3.69,0.148
6470,41019839,2.114,0.095,14.9,8.6,5.0,126.0,0.79,5.5,5.2,8.26526,58.0,-92.0778303570588,44.4053385132972,10/13/2010,1,1013006,1.0,2010,2.114,0.095
6471,41019840,,,16.1,7.3,12.0,563.0,1.02,9.4,5.3,19.18448,48.0,-92.0703246608186,44.4034770963128,10/13/2010,1,1013054,1.0,2010,1.8371604034099445,0.07335924583452128
6472,41019841,1.429,0.074,14.8,8.6,5.0,120.0,0.68,5.6,3.0,20.72437,59.0,-92.0677847462947,44.405256962279,10/13/2010,1,1013007,1.0,2010,1.429,0.074
6473,41019842,3.751,0.171,16.1,7.2,13.0,562.0,0.79,11.4,3.3,13.02492,53.0,-92.0609576197777,44.4002494698828,10/13/2010,1,1013015,2.0,2010,3.751,0.171
6474,41019843,,,16.1,7.2,13.0,562.0,0.84,11.3,1.6,14.56481,57.0,-92.0534748945793,44.3970367051901,10/13/2010,1,1013074,2.0,2010,3.959268423608552,0.15946956824312516
6475,41019844,,,16.1,7.2,14.0,562.0,0.49,10.9,2.4,14.56481,59.0,-92.0535039179576,44.3952363747158,10/13/2010,1,1013075,2.0,2010,3.9462993743033747,0.16018757789323873
6476,41019845,4.04,0.155,16.1,7.2,12.0,560.0,,10.3,6.6,14.42482,62.0,-92.0503215415816,44.3979108140465,10/13/2010,1,1013008,1.0,2010,4.04,0.155
6477,41019846,,,16.0,7.3,13.0,538.0,1.28,10.0,6.5,14.14484,49.0,-92.0478396703274,44.396089579773,10/13/2010,1,1013055,1.0,2010,3.9826459482934427,0.15817531082112427
6478,41019847,,,16.1,7.5,14.0,563.0,,10.6,6.1,12.74494,55.0,-92.0279604492791,44.3833181139629,10/13/2010,1,1013056,1.0,2010,2.7941529974564583,0.05871845745898532
6479,41019848,,,16.3,7.2,11.0,552.0,,8.7,2.7,16.66466,58.0,-92.0192716472947,44.377391965469,10/13/2010,1,1013109,3.0,2010,2.4815601652087054,0.10651867833035625
6480,41019849,,,16.1,7.3,13.0,562.0,1.1,11.3,2.3,14.00485,50.0,-92.0148663023975,44.3773540528966,10/13/2010,1,1013065,2.0,2010,2.504121676511167,0.18292190306673028
6481,41019850,,,16.2,7.3,13.0,563.0,0.94,11.8,4.0,14.42482,51.0,-91.9905392436955,44.3685888902297,10/13/2010,1,1013057,1.0,2010,2.2792729445422957,0.08489444429314932
6482,41019851,3.082,0.213,16.3,7.9,21.0,440.0,0.11,25.8,1.52,16.66466,39.0,-91.9690483598198,44.3773998100404,10/13/2010,1,1013027,3.0,2010,3.082,0.213
6483,41019852,,,15.8,7.3,12.0,341.0,0.14,15.7,1.87,14.56481,55.0,-91.9689693712603,44.3819005345352,10/13/2010,1,1013095,3.0,2010,1.756195892776565,0.07720840432503609
6484,41019853,1.689,0.11,15.6,5.2,7.0,180.0,0.21,7.9,1.98,6.86536,49.0,-91.9695416831271,44.3850567037482,10/13/2010,1,1013024,3.0,2010,1.689,0.11
6485,41019854,,,15.6,5.7,9.0,233.0,0.18,10.2,1.86,8.12527,52.0,-91.9751666650936,44.3864577453642,10/13/2010,1,1013093,3.0,2010,1.5485210802503828,0.14651437625260805
6486,41019855,,,16.0,7.6,11.0,379.0,0.16,14.8,1.6,13.02492,61.0,-91.9851232306807,44.3914982259304,10/13/2010,1,1013092,3.0,2010,1.730667716995327,0.13455131419738697
6487,41019856,1.583,0.118,15.8,5.2,6.0,176.0,0.07,6.3,1.22,6.86536,52.0,-91.9794114756627,44.3950484710755,10/13/2010,1,1013022,3.0,2010,1.583,0.118
6488,41019857,3.482,0.152,15.2,7.2,13.0,569.0,0.11,14.2,1.02,12.60495,58.0,-91.9515485141771,44.3380778577264,10/14/2010,1,1013029,3.0,2010,3.482,0.152
6489,41019858,,,15.1,7.1,10.0,566.0,0.05,7.6,1.38,12.32497,68.0,-91.9522958460204,44.3313325084637,10/14/2010,1,1013115,3.0,2010,3.0059999713272676,0.16000000077354493
6490,41019859,,,15.7,7.7,11.0,553.0,0.47,10.2,4.3,11.905,72.0,-91.9235346140866,44.3265635848275,10/14/2010,1,1013063,1.0,2010,2.858,0.0485
6491,41019860,,,14.4,7.0,10.0,371.0,0.76,11.9,6.1,9.1052,75.0,-91.9209936830208,44.3283401989888,10/14/2010,1,1013062,1.0,2010,3.0869999999999997,0.057499999999999996
6492,41019861,,,14.3,6.8,11.0,343.0,0.95,10.9,6.5,9.24519,72.0,-91.9234358166557,44.3319644229839,10/14/2010,1,1013061,1.0,2010,3.0430756684979148,0.044461401241959436
6493,41019862,,,15.6,7.4,11.0,546.0,0.54,9.8,3.6,12.04499,62.0,-91.9353007324382,44.3347765252344,10/14/2010,1,1013083,2.0,2010,2.744435031717381,0.0671807432238035
6494,41019863,,,15.8,7.5,12.0,576.0,0.83,10.4,5.0,12.32497,67.0,-91.9347062559678,44.3329703935233,10/14/2010,1,1013069,2.0,2010,2.2963266193365,0.07177852314747792
6495,41019864,,,15.6,7.3,13.0,576.0,0.65,13.2,2.0,12.88493,61.0,-91.9372225952815,44.3325436885887,10/14/2010,1,1013070,2.0,2010,2.397147187409407,0.08782678080206176
6496,41019865,,,14.9,7.5,10.0,444.0,0.61,11.5,5.2,10.5051,64.0,-91.9352111333072,44.3397273056343,10/14/2010,1,1013068,2.0,2010,2.4304999996256984,0.06150000000375748
6497,41019866,,,15.9,7.5,12.0,578.0,0.61,10.9,4.7,13.72487,61.0,-91.9458480780775,44.3411764149507,10/14/2010,1,1013060,1.0,2010,2.6660000328456266,0.04650000025822034
6498,41019867,,,15.7,7.5,11.0,554.0,1.02,9.3,5.3,13.02492,62.0,-91.9556266379302,44.3556709227435,10/14/2010,1,1013058,1.0,2010,2.265999948044409,0.15100000143750647
6499,41019868,,,15.9,7.4,12.0,569.0,0.94,10.2,5.7,12.88493,56.0,-91.9531815508133,44.3520473733431,10/14/2010,1,1013059,1.0,2010,2.169362554917889,0.1536737633026671
6500,41019869,3.647,0.153,16.1,7.6,11.0,577.0,0.62,11.5,1.01,14.56481,62.0,-91.9613041357947,44.3539221140395,10/14/2010,1,1013017,2.0,2010,3.647,0.153
6501,41019870,,,16.1,7.5,13.0,577.0,0.54,12.1,1.8,13.72487,58.0,-91.963797397431,44.3548450525074,10/14/2010,1,1013067,2.0,2010,3.224333354833332,0.08500000345899039
6502,41019871,,,15.2,7.8,12.0,447.0,0.57,14.8,3.0,12.60495,57.0,-91.9419961821057,44.3460924093838,10/14/2010,1,1013101,3.0,2010,2.6561069984831436,0.08957457448160472
6503,41019872,2.908,0.118,14.6,6.5,9.0,310.0,0.76,10.1,3.6,9.94514,72.0,-91.9363270287177,44.347390192113,10/14/2010,1,1013011,2.0,2010,2.908,0.118
6504,41019873,3.145,0.23,12.7,9.4,13.0,335.0,0.38,17.7,0.97,9.52517,72.0,-91.9325229482561,44.3496054316037,10/14/2010,1,1013035,3.0,2010,3.145,0.23
6505,41019874,2.382,0.113,14.7,6.5,9.0,320.0,0.63,9.3,2.6,10.22512,59.0,-91.9418747161568,44.3528434736771,10/14/2010,1,1013018,2.0,2010,2.382,0.113
6506,41019875,,,14.7,6.3,8.0,310.0,0.48,8.7,1.68,9.52517,58.0,-91.9430887974256,44.3551054430952,10/14/2010,1,1013113,3.0,2010,1.9822445192178695,0.12730459650767778
6507,41019876,2.001,0.116,15.2,6.0,7.0,264.0,,7.0,4.9,14.14484,53.0,-91.9449060531061,44.3587234083937,10/14/2010,1,1013028,3.0,2010,2.001,0.116
6508,41019880,,,14.9,5.7,9.0,259.0,,10.2,3.6,9.66516,53.0,-91.9448979754088,44.3591734790272,10/14/2010,1,1013111,3.0,2010,1.8191602516791543,0.14043859943264206
6509,41019881,3.236,0.135,15.6,7.8,12.0,490.0,0.32,10.8,1.9,13.44489,58.0,-91.9580161798809,44.3624449270318,10/14/2010,1,1013010,2.0,2010,3.236,0.135
6510,41019882,,,16.0,7.5,12.0,580.0,0.94,11.3,3.1,13.86486,49.0,-92.0067843646328,44.3727826152445,10/14/2010,1,1013081,2.0,2010,2.511627746443404,0.19144230677359378
6511,41019883,,,16.1,7.4,12.0,578.0,0.49,11.5,1.8,15.12477,58.0,-92.0074650713332,44.3696375210289,10/14/2010,1,1013082,2.0,2010,3.1205,0.193
6512,41019884,3.691,0.151,16.0,7.5,12.0,578.0,0.64,11.3,1.42,14.00485,58.0,-92.008077335058,44.3705431292436,10/14/2010,1,1013016,2.0,2010,3.691,0.151
6513,41019885,3.562,0.145,14.7,7.6,10.0,584.0,0.03,9.7,0.29,8.54524,29.0,-91.9471990190823,44.3357871135816,10/15/2010,1,1013036,3.0,2010,3.562,0.145
6514,41019886,,,13.9,17.0,24.0,266.0,0.02,32.1,1.31,203.6913,29.0,-91.9263328354068,44.3450459485279,10/15/2010,1,1013102,3.0,2010,2.5009010525801196,0.21426074000665707
6515,41019887,2.61,0.126,12.8,11.2,8.0,330.0,0.0,9.7,2.26,41.58288,66.0,-91.9349585028727,44.3536794809894,10/15/2010,1,1013034,3.0,2010,2.61,0.126
6516,41019888,,,14.0,7.7,10.0,428.0,0.37,12.4,0.66,10.92507,66.0,-91.9512114678115,44.3569809015804,10/15/2010,1,1013112,3.0,2010,1.81633309732783,0.16541316484573593
6517,41019889,,,14.8,8.1,7.0,461.0,0.02,8.0,1.02,11.62502,79.0,-91.9691510173803,44.371548862707,10/15/2010,1,1013096,3.0,2010,2.5198537650300867,0.05744456480244438
6518,41019890,,,14.8,7.9,11.0,467.0,0.34,13.6,1.7,12.88493,61.0,-91.97034286557,44.3751607675832,10/15/2010,1,1013066,2.0,2010,2.596853774809341,0.18376331599604312
6519,41019891,,,14.8,7.9,9.0,471.0,0.33,13.0,1.44,12.32497,62.0,-91.9728765082734,44.3738331483534,10/15/2010,1,1013080,2.0,2010,1.9206572149247063,0.09734175176084713
6520,41019892,,,14.9,8.1,9.0,463.0,0.2,6.0,0.97,12.60495,59.0,-91.9741236419235,44.3742945012459,10/15/2010,1,1013079,2.0,2010,1.9319006590042083,0.10318834268218836
6521,41019893,,,15.2,8.2,7.0,461.0,0.04,6.9,0.84,10.36511,69.0,-91.9778495012657,44.3765786270442,10/15/2010,1,1013110,3.0,2010,1.7824793865816506,0.15107362056433926
6522,41019894,,,14.8,8.0,8.0,464.0,0.37,9.2,0.72,12.18498,51.0,-91.987277927745,44.3757623292812,10/15/2010,1,1013078,2.0,2010,1.820399649470416,0.1450267203871919
6523,41019895,2.867,0.11,15.2,7.8,6.0,447.0,0.04,4.8,1.01,8.40525,91.0,-91.9815210298594,44.3820131521601,10/15/2010,1,1013026,3.0,2010,2.867,0.11
6524,41019896,,,14.6,7.5,7.0,431.0,0.06,4.5,1.16,11.06506,79.0,-91.9858752753571,44.3843026152443,10/15/2010,1,1013094,3.0,2010,3.0202025723967694,0.05738196613841924
6525,41019897,2.649,0.105,16.1,8.3,6.0,399.0,0.05,4.8,1.39,12.18498,87.0,-91.9952894467064,44.3843858179691,10/15/2010,1,1013025,3.0,2010,2.649,0.105
6526,41019898,2.537,0.127,14.8,6.5,12.0,389.0,0.08,9.4,0.62,11.06506,62.0,-92.0040836745423,44.3840126969521,10/15/2010,1,1013033,3.0,2010,2.537,0.127
6527,41019899,3.297,0.139,15.2,8.3,10.0,420.0,0.27,9.4,0.86,13.58488,71.0,-91.9933448976443,44.387969842235,10/15/2010,1,1013023,3.0,2010,3.297,0.139
6528,41019903,2.586,0.122,14.0,7.0,9.0,383.0,0.0,7.0,0.44,7.56531,44.0,-91.9977384569326,44.3880084819157,10/15/2010,1,1013032,3.0,2010,2.586,0.122
6529,41019904,,,16.3,10.6,6.0,418.0,0.01,4.0,0.33,13.72487,33.0,-92.001489067218,44.388941619713,10/15/2010,1,1013108,3.0,2010,1.8291053723910804,0.21775270361119928
6530,41019905,,,15.6,7.2,13.0,398.0,0.0,5.9,0.33,24.92407,33.0,-91.9964139305007,44.3920481384154,10/15/2010,1,1013076,2.0,2010,2.0270210712298242,0.2512346826961688
6531,41019906,,,14.8,8.1,9.0,428.0,0.37,5.7,1.4,10.36511,68.0,-92.0077326266828,44.3916968919325,10/15/2010,1,1013077,2.0,2010,1.6585375302201513,0.15857189186280543
6532,41019907,,,14.5,4.8,3.0,207.0,,10.0,0.82,13.44489,82.0,-92.0207340683866,44.4026125283747,10/15/2010,1,1013106,3.0,2010,1.295184911238906,0.17785675955179503
6533,41019908,,,14.4,7.0,5.0,252.0,0.19,1.8,1.34,5.46546,71.0,-92.0113396431152,44.4011811668413,10/15/2010,1,1013107,3.0,2010,1.3050068974179176,0.13695694862443317
6534,41019909,1.514,0.095,13.5,5.2,4.0,205.0,0.22,3.5,2.22,7.00535,96.0,-92.0087600603168,44.4052100866135,10/15/2010,1,1013031,3.0,2010,1.514,0.095
6535,41019910,,,13.0,1.6,6.0,253.0,0.0,4.3,0.35,6.02542,35.0,-91.9992887934568,44.4082784855584,10/15/2010,1,1013105,3.0,2010,0.9757946641477634,0.2206806963800451
6536,41019911,,,14.3,4.1,3.0,200.0,0.0,2.2,0.81,6.02542,81.0,-91.9949476682721,44.405089374128,10/15/2010,1,1013091,3.0,2010,1.0667475109649083,0.04099128918731518
6537,41019912,,,16.2,7.8,11.0,599.0,0.47,11.8,0.58,14.14484,58.0,-91.9937226999973,44.365916113561,10/15/2010,1,1013097,3.0,2010,2.732521657871925,0.06432381004253643
6538,41019913,,,16.6,7.8,9.0,592.0,0.15,9.8,1.22,12.74494,61.0,-91.9988570188044,44.3592090562913,10/15/2010,1,1013099,3.0,2010,2.160199707835021,0.19568331935263725
6539,41019914,,,16.4,7.7,10.0,592.0,0.1,11.3,1.12,12.74494,71.0,-91.9988723479208,44.3583088997534,10/15/2010,1,1013100,3.0,2010,2.1513230818098013,0.1969635061587436
6540,41019915,,,16.6,8.0,11.0,588.0,0.09,7.9,1.27,10.22512,84.0,-91.9881766927657,44.3600152299676,10/15/2010,1,1013098,3.0,2010,2.061742313730444,0.20988284252035683
6541,41019916,,,14.6,1.3,8.0,469.0,0.02,12.1,1.52,35.42332,58.0,-91.9783502658249,44.3477738197747,10/15/2010,1,1013114,3.0,2010,1.6657072981996588,0.16010972178690175
6542,41019926,2.755,0.086,7.7,10.1,6.0,459.0,,5.2,6.9,11.06506,107.0,-92.1340042423484,44.4232707508319,11/08/2010,1,M766.0I,,2010,2.755,0.086
6543,41019928,1.258,0.084,7.3,10.6,6.0,111.0,,3.7,2.7,3.08563,79.0,-92.0841852655924,44.4101521483094,11/08/2010,1,CH00.1M,,2010,1.258,0.084
6544,41019929,2.18,0.102,7.5,10.3,9.0,315.0,,11.0,6.6,8.68523,68.0,-91.9214975954724,44.3289031412753,11/08/2010,1,M752.9Z,,2010,2.18,0.102
6545,41019933,2.818,0.09,7.5,10.2,7.0,442.0,,6.4,1.29,10.22512,88.0,-91.9253204334568,44.3276697591583,11/08/2010,1,M752.9M,,2010,2.818,0.09
6546,41019934,2.835,0.087,7.9,10.4,7.0,468.0,,6.2,9.8,10.78508,88.0,-91.9292673631072,44.32650043278,11/08/2010,1,M752.9Y,,2010,2.835,0.087
6547,41019935,3.046,0.111,7.8,10.2,10.0,271.0,0.48,12.2,3.9,7.56531,63.0,-91.9650277809776,44.3797492094712,11/08/2010,1,M757.2Z,,2010,3.046,0.111
6548,41019936,2.899,0.094,7.2,10.3,8.0,462.0,,5.8,6.4,11.34504,78.0,-92.100457850966,44.4121000425779,11/08/2010,1,M764.3A,,2010,2.899,0.094
6549,41019947,1.782,0.066,0.0,12.6,4.0,154.0,,2.0,2.25,-0.5,69.0,-92.0841852655924,44.4101521483094,01/12/2011,1,CH00.1M,,2011,1.782,0.066
6550,41019948,4.065,0.068,0.4,12.5,5.0,629.0,,2.4,6.1,-0.5,152.0,-92.100457850966,44.4121000425779,01/12/2011,1,M764.3A,,2011,4.065,0.068
6551,41019949,3.911,0.063,0.0,12.7,4.0,623.0,,2.2,5.88,0.52044,102.0,-92.1340042423484,44.4232707508319,01/12/2011,1,M766.0I,,2011,3.911,0.063
6552,41019951,2.705,0.079,0.0,10.6,5.0,378.0,0.04,2.3,3.54,-0.5,71.0,-91.9650277809776,44.3797492094712,01/12/2011,1,M757.2Z,,2011,2.705,0.079
6553,41019952,3.069,0.071,0.0,11.4,4.0,437.0,,2.1,6.58,0.20278,84.0,-91.9214975954724,44.3289031412753,01/12/2011,1,M752.9Z,,2011,3.069,0.071
6554,41019953,3.525,0.07,0.1,12.2,4.0,547.0,,2.3,1.4,-0.5,117.0,-91.9253204334568,44.3276697591583,01/12/2011,1,M752.9M,,2011,3.525,0.07
6555,41019954,3.743,0.07,0.0,12.3,4.0,595.0,,2.2,8.08,-0.5,88.0,-91.9292673631072,44.32650043278,01/12/2011,1,M752.9Y,,2011,3.743,0.07
6556,41019985,,,0.2,11.7,4.0,592.0,0.54,2.0,4.6,-0.5,203.0,-92.0528035667854,44.3997319951471,01/25/2011,1,1114055,1.0,2011,3.6745200413382673,0.14901161475288457
6557,41019986,,,0.2,11.7,5.0,586.0,0.54,2.0,4.2,-0.5,184.0,-92.0602793900748,44.4033948879063,01/25/2011,1,1114054,1.0,2011,3.7190968897617145,0.1406996106810186
6558,41019987,,,0.2,11.6,3.0,580.0,0.54,2.4,4.5,-0.5,198.0,-92.0653020200903,44.4034361025224,01/25/2011,1,1114053,1.0,2011,2.3962774586211655,0.1329319916624001
6559,41019988,,,0.0,10.7,4.0,179.0,0.44,1.6,3.23,-0.5,64.0,-92.0852804157718,44.4108001257429,01/25/2011,1,1114052,1.0,2011,1.7890000000000001,0.067
6560,41019989,,,0.0,11.9,3.0,638.0,0.15,1.6,2.12,-0.5,222.0,-92.0928153683776,44.4108602236509,01/25/2011,1,1114051,1.0,2011,3.3040000000002276,0.07600000000000573
6561,41019997,,,0.3,6.6,10.0,671.0,0.0,4.9,1.07,8.62077,77.0,-92.0386224361608,44.3838585007828,01/25/2011,1,1114219,3.0,2011,2.8524840037227595,0.15378590301499445
6562,41019998,,,0.2,12.1,3.0,498.0,0.42,1.7,5.1,-0.5,196.0,-92.0279306550889,44.3851184347458,01/25/2011,1,1114056,1.0,2011,2.2956665673291816,0.13599999682695427
6563,41020000,3.92,0.067,0.1,12.1,5.0,488.0,0.0,3.0,0.33,0.20278,,-92.0185012306072,44.3859380788622,01/25/2011,1,1114031,3.0,2011,3.92,0.067
6564,41020004,,,0.2,12.3,3.0,598.0,0.37,1.9,0.99,-0.5,99.0,-92.0154938438762,44.3773594639238,01/25/2011,1,1114068,2.0,2011,2.879842257402545,0.09664061958300507
6565,41020005,4.538,0.068,0.2,12.3,4.0,596.0,0.45,2.4,1.57,-0.5,157.0,-92.0023995728978,44.372294256159,01/25/2011,1,1114013,2.0,2011,4.538,0.068
6566,41020007,,,0.2,12.2,3.0,586.0,0.14,2.1,1.32,-0.5,145.0,-92.0004864952395,44.3740781078076,01/25/2011,1,1114057,1.0,2011,3.8719997060691163,0.13675003034196442
6567,41020008,,,0.0,11.7,5.0,493.0,,4.8,0.07,0.52044,,-91.9904000575579,44.3766902584383,01/25/2011,1,1114078,2.0,2011,2.1742899871568326,0.21396165088628122
6568,41020009,,,0.0,12.1,4.0,492.0,0.17,1.8,0.99,-0.5,124.0,-91.9878744333118,44.3775681930579,01/25/2011,1,1114077,2.0,2011,2.4983051901053557,0.07272889257901667
6569,41020011,,,0.0,9.5,5.0,415.0,0.06,1.8,1.1,-0.5,88.0,-92.0258910074067,44.3945540633463,01/26/2011,1,1114106,3.0,2011,1.1095808446294693,0.13677314244686783
6570,41020012,3.119,0.081,0.0,8.7,5.0,402.0,0.1,2.3,1.29,-0.5,78.0,-92.0200987425175,44.4030572214078,01/26/2011,1,1114028,3.0,2011,3.119,0.081
6571,41020015,,,0.0,9.7,11.0,479.0,0.01,18.7,0.24,0.36161,,-92.0050922104183,44.3993263468707,01/26/2011,1,1114088,3.0,2011,1.974083835647125,0.11977036677206375
6572,41020019,2.303,0.107,0.0,3.6,11.0,392.0,0.0,6.3,0.33,-0.5,50.0,-91.9750645534877,44.3923086884065,01/26/2011,1,1114030,3.0,2011,2.303,0.107
6573,41020020,,,0.1,7.5,7.0,377.0,0.03,3.7,1.1,-0.5,51.0,-91.9745233171069,44.3873522571913,01/26/2011,1,1114091,3.0,2011,1.4337506087969258,0.0720409701319234
6574,41020022,3.826,0.063,0.0,11.2,4.0,499.0,0.0,2.6,0.33,0.36161,,-91.9765552478391,44.3788177564315,01/26/2011,1,1114022,3.0,2011,3.826,0.063
6575,41020025,,,0.0,10.6,6.0,508.0,0.0,6.2,0.19,0.20278,51.0,-91.9853254134647,44.3797962953448,01/26/2011,1,1114093,3.0,2011,2.203700041056503,0.09191878801386158
6576,41020026,,,0.0,11.4,4.0,502.0,0.01,2.2,0.92,-0.5,80.0,-91.9946618340206,44.384380295256,01/26/2011,1,1114092,3.0,2011,2.1983746527733814,0.2463777630036736
6577,41020027,3.847,0.059,0.0,11.3,3.0,492.0,0.05,1.8,0.16,-0.5,56.0,-91.9951816458747,44.3906868748624,01/26/2011,1,1114021,3.0,2011,3.847,0.059
6578,41020029,,,0.0,11.2,4.0,491.0,0.13,2.0,0.63,-0.5,86.0,-91.9919428027318,44.3965101901292,01/26/2011,1,1114089,3.0,2011,2.557136701781835,0.11824074018005168
6579,41020030,,,0.0,11.5,9.0,489.0,0.0,13.2,0.13,7.82662,44.0,-92.0027034421418,44.3921032311608,01/26/2011,1,1114090,3.0,2011,2.301283135832312,0.15656215960586584
6580,41020031,3.634,0.06,0.0,11.3,4.0,489.0,0.1,1.7,0.25,-0.5,54.0,-92.0070440461284,44.3952920500489,01/26/2011,1,1114029,3.0,2011,3.634,0.06
6581,41020035,,,0.0,10.8,3.0,492.0,0.11,1.9,0.32,-0.5,48.0,-92.0120356104537,44.3971359077222,01/26/2011,1,1114075,2.0,2011,2.703699616340572,0.05745123182559061
6582,41020037,,,0.1,10.3,7.0,600.0,0.0,12.1,0.35,0.67927,82.0,-92.0007849523259,44.3565250660145,01/27/2011,1,1114096,3.0,2011,3.3159960628214256,0.21215323499805996
6583,41020038,4.426,0.066,0.0,10.6,5.0,600.0,0.09,3.1,0.12,0.20278,19.0,-92.0043887848781,44.366009588156,01/27/2011,1,1114014,2.0,2011,4.426,0.066
6584,41020040,,,0.0,11.5,5.0,596.0,0.0,3.4,0.39,0.67927,76.0,-92.00000451904,44.3655211413447,01/27/2011,1,1114112,3.0,2011,4.461049841775194,0.06662589003169989
6585,41020041,,,0.3,10.7,3.0,591.0,0.04,2.3,0.7,-0.5,94.0,-91.9943578162714,44.3654715625339,01/27/2011,1,1114094,3.0,2011,4.476040804605276,0.06689358579652278
6586,41020042,,,0.2,11.4,3.0,533.0,0.64,1.7,4.6,-0.5,200.0,-91.980500176462,44.3684997204731,01/27/2011,1,1114058,1.0,2011,2.712639628590366,0.1258318662933432
6587,41020043,,,0.3,11.6,3.0,583.0,0.56,2.0,4.4,-0.5,201.0,-91.9755120437126,44.3666545074932,01/27/2011,1,1114059,1.0,2011,2.548586197905379,0.13954502332305774
6588,41020044,,,0.0,11.2,4.0,499.0,0.02,2.7,0.6,-0.5,82.0,-91.964099521343,44.3733037351532,01/27/2011,1,1114111,3.0,2011,2.372979335279995,0.12515122329819095
6589,41020045,,,0.0,9.6,5.0,447.0,0.04,2.3,5.03,-0.5,68.0,-91.9633926287221,44.3777987620025,01/27/2011,1,1114076,2.0,2011,1.5687930572396027,0.10322449465307587
6590,41020046,,,0.1,10.7,4.0,482.0,0.08,1.8,3.21,-0.5,89.0,-91.9554027135339,44.3682729366308,01/27/2011,1,1114069,2.0,2011,2.281945621886618,0.06336333113841727
